event	bunchCrossing	pdgid	mass	charge	pt	eta	phi	mothers	daughters
51	-1	1009313	1801.22	0.0	850.931	-0.906715	-2.67802	1009002,21,21	
52	-1	1009213	1801.05	1.0	1035.67	-1.0963	1.8326	1009002,21	
52	-1	1009223	1801.05	0.0	1071.79	-0.0374568	-1.40168	-1009002,21	
55	-1	1009223	1801.05	0.0	1769.21	0.299401	0.538365	-1009002,4	
55	-1	1009223	1801.05	0.0	1332.56	0.590289	-2.60711	1009002,21,21	
57	-1	1009213	1801.05	-1.0	467.153	-0.807311	0.077837	1009002,21,21	
57	-1	1009113	1801.05	0.0	460.542	-0.901365	-2.96693	1009002,21	
58	-1	1009223	1801.05	0.0	687.15	-0.877024	1.58793	1009002,21,21	
58	-1	1009213	1801.05	1.0	680.584	-1.80753	-1.56514	-1009002,21,21,21	
60	-1	1009313	1801.22	0.0	938.615	-1.34108	2.31525	1009002,21,21	
60	-1	1009323	1801.22	-1.0	1021.31	0.353102	-0.8006	1009002,21,21,21	
62	-1	1009313	1801.22	0.0	396.274	-0.818288	1.635	1009002,21	
62	-1	1009223	1801.05	0.0	358.52	-2.06191	-0.601018	1009002,21,21	
68	-1	1009323	1801.22	1.0	518.271	0.878524	0.624002	1009002,21,21	
68	-1	1009313	1801.22	0.0	496.536	-0.925324	-2.50837	-1009002,21,21	
69	-1	1009113	1801.05	0.0	732.01	-0.707599	-1.35386	-1009002,21	
69	-1	1000993	1801.1	0.0	735.808	0.584253	1.85635	1009002,21,21,-4	
71	-1	1093214	1801.55	0.0	1654.03	0.0849472	-2.14714	1009002,21,21	
71	-1	1009213	1801.05	-1.0	1817.93	-0.0977927	0.995347	1009002,2101	
72	-1	1009113	1801.05	0.0	799.156	1.35574	0.7364	1009002,21,21	
72	-1	1009113	1801.05	0.0	828.772	0.485447	-2.39309	-1009002,21,21	
74	-1	1009313	1801.22	0.0	1298.37	1.23393	0.0356655	-1009002,21	
74	-1	1009213	1801.05	-1.0	622.757	1.61646	-2.76106	1009002,21,21	
76	-1	1009223	1801.05	0.0	1674.17	0.0653691	0.294798	-1009002,21	
76	-1	1009213	1801.05	1.0	1546.53	-1.0726	-2.82122	1009002,21,21	
78	-1	1009223	1801.05	0.0	976.726	-1.87402	-2.29673	-1009002,21	
78	-1	1009213	1801.05	1.0	956.266	-1.52537	0.792874	1009002,-2	
80	-1	1009223	1801.05	0.0	848.851	0.327583	0.58972	-1009002,21	
80	-1	1009213	1801.11	1.0	558.956	-1.23799	-2.58314	1009002,-1	
82	-1	1009223	1801.05	0.0	1517.61	-0.256739	-2.58801	-1009002,21	
82	-1	1009213	1801.05	1.0	1671.04	0.799334	0.513685	1009002,21,21	
83	-1	1092224	1801.38	-2.0	258.535	1.42226	-2.37445	-1009002,21,21	
83	-1	1009223	1801.05	0.0	247.02	1.60135	0.818169	1009002,21,21	
92	-1	1009323	1801.22	-1.0	281.581	-2.37717	0.122316	-1009002,21	
