Block MASS   #
  #  PDG code     mass                 particle
  1095224    1806.050    # R+(~g buu)
  1095314    1806.225    # R-(~g bsd)
  1095324    1806.225    # R0(~g bsu)
  1095334    1806.400    # R-(~g bss)
  2000001  100000.000    # ~d_R
  2000002  100000.000    # ~u_R
  2000003  100000.000    # ~s_R
  2000004  100000.000    # ~c_R
  2000005  100000.000    # ~b_2
  2000006  100000.000    # ~t_2
  2000011  100000.000    # ~e_R-
  2000012     500.000    # ~nu_eR
  2000013  100000.000    # ~mu_R-
  2000014     500.000    # ~nu_muR
  2000015  100000.000    # ~tau_2-
  2000016     500.000    # ~nu_tauR
  3000111     110.000    # pi_tc0
  3000113     210.000    # rho_tc0
  3000211     110.000    # pi_tc+
  3000213     210.000    # rho_tc+
  3000221     110.000    # pi'_tc0
  3000223     210.000    # omega_tc
  3000331     350.000    # eta_tc0
  3100021     500.000    # V8_tc
  3100111     125.000    # pi_22_1_tc
  3100113     400.000    # rho_11_tc
  3200111     250.000    # pi_22_8_tc
  3200113     350.000    # rho_12_tc
  3300113     350.000    # rho_21_tc
  3400113     300.000    # rho_22_tc
  4000001     400.000    # d*
  4000002     400.000    # u*
  4000003     400.000    # s*
  4000004     400.000    # c*
  4000005     400.000    # b*
  4000006     400.000    # t*
  4000011     400.000    # e*-
  4000012     400.000    # nu*_e0
  4000013     400.000    # mu*-
  4000014     400.000    # nu*_mu0
  4000015     400.000    # tau*-
  4000016     400.000    # nu*_tau0
  4900001     400.000    # Dv
  4900002     400.000    # Uv
  4900003     400.000    # Sv
  4900004     400.000    # Cv
  4900005     400.000    # Bv
  4900006     400.000    # Tv
  4900011     400.000    # Ev
  4900012     400.000    # nuEv
  4900013     400.000    # MUv
  4900014     400.000    # nuMUv
  4900015     400.000    # TAUv
  4900016     400.000    # nuTAUv
  4900021       0.000    # gv
  4900022       0.000    # gammav
  4900023    1000.000    # Zv
  4900101       5.000    # qv1
  4900102       5.000    # qv2
  4900103       5.000    # qv3
  4900104       5.000    # qv4
  4900105       5.000    # qv5
  4900106       5.000    # qv6
  4900107       5.000    # qv7
  4900108       5.000    # qv8
  4900111      10.000    # piv11
  4900113      10.000    # rhov11
  4900211      10.000    # piv21
  4900213      10.000    # rhov21
  4900221      10.000    # piv22
  4900223      10.000    # rhov22
  4900311      10.000    # piv31
  4900313      10.000    # rhov31
  4900321      10.000    # piv32
  4900323      10.000    # rhov32
  4900331      10.000    # piv33
  4900333      10.000    # rhov33
  4900411      10.000    # piv41
  4900413      10.000    # rhov41
  4900421      10.000    # piv42
  4900423      10.000    # rhov42
  4900431      10.000    # piv43
  4900433      10.000    # rhov43
  4900441      10.000    # piv44
  4900443      10.000    # rhov44
  4900511      10.000    # piv51
  4900513      10.000    # rhov51
  4900521      10.000    # piv52
  4900523      10.000    # rhov52
  4900531      10.000    # piv53
  4900533      10.000    # rhov53
  4900541      10.000    # piv54
  4900543      10.000    # rhov54
  4900551      10.000    # piv55
  4900553      10.000    # rhov55
  4900611      10.000    # piv61
  4900613      10.000    # rhov61
  4900621      10.000    # piv62
  4900623      10.000    # rhov62
  4900631      10.000    # piv63
  4900633      10.000    # rhov63
  4900641      10.000    # piv64
  4900643      10.000    # rhov64
  4900651      10.000    # piv65
  4900653      10.000    # rhov65
  4900661      10.000    # piv66
  4900663      10.000    # rhov66
  4900711      10.000    # piv71
  4900713      10.000    # rhov71
  4900721      10.000    # piv72
  4900723      10.000    # rhov72
  4900731      10.000    # piv73
  4900733      10.000    # rhov73
  4900741      10.000    # piv74
  4900743      10.000    # rhov74
  4900751      10.000    # piv75
  4900753      10.000    # rhov75
  4900761      10.000    # piv76
  4900763      10.000    # rhov76
  4900771      10.000    # piv77
  4900773      10.000    # rhov77
  4900811      10.000    # piv81
  4900813      10.000    # rhov81
  4900821      10.000    # piv82
  4900823      10.000    # rhov82
  4900831      10.000    # piv83
  4900833      10.000    # rhov83
  4900841      10.000    # piv84
  4900843      10.000    # rhov84
  4900851      10.000    # piv85
  4900853      10.000    # rhov85
  4900861      10.000    # piv86
  4900863      10.000    # rhov86
  4900871      10.000    # piv87
  4900873      10.000    # rhov87
  4900881      10.000    # piv88
  4900883      10.000    # rhov88
  4900991       1.000    # ggv
  4901103      10.000    # qv1qv1
  4901114      15.000    # Deltav1
  4902114      15.000    # Deltav2
  4903114      15.000    # Deltav3
  4904114      15.000    # Deltav4
  4905114      15.000    # Deltav5
  4906114      15.000    # Deltav6
  4907114      15.000    # Deltav7
  4908114      15.000    # Deltav8
  5000023    4000.000    # Z_KK
  5000039       0.000    # Graviton
  5100021    1000.000    # KKgluon*
  5100039    1000.000    # Graviton*
  9000111       0.984    # a_0(980)0
  9000211       0.984    # a_0(980)+
  9000221       0.475    # f_0(500)
  9010221       1.000    # f_0(980)
  9900012     500.000    # nu_Re
  9900014     500.000    # nu_Rmu
  9900016     500.000    # nu_Rtau
  9900020       0.000    # gam_diff0
  9900023    1200.000    # Z_R0
