event	pdg_id	mass	charge	pt	eta	phi	energy	long_lived	mothers	daughters
13	1009213	1001.0499877929688	-1	359.0011901855469	-1.1303176879882812	0.5575228929519653	1174.2529178869408	0	-1009002,21	
14	1009213	1001.0499877929688	-1	446.2239990234375	2.407052516937256	-1.5884809494018555	2690.101634626877	0	1009002,-1	
14	1091114	1001.375	1	441.8217468261719	0.451968252658844	1.554874062538147	1113.8332300409995	0	-1009002,21,21	
20	1009213	1001.0499877929688	-1	354.5118408203125	-0.5837880969047546	-1.9262198209762573	1084.2990974844386	0	-1009002,21	
20	1009223	1001.0499877929688	0	450.1344909667969	1.0412412881851196	1.4609860181808472	1231.3409929173004	0	1009002,21,21,21	
21	1009113	1001.0499877929688	0	1108.437744140625	0.25059208273887634	-0.023270171135663986	1519.709736688718	0	1009002,21,21	
21	1009113	1001.0499877929688	0	1149.4141845703125	-0.08921577036380768	3.0411148071289062	1527.677201130932	0	-1009002,21,21	
22	1000993	1001.0999755859375	0	163.72915649414062	-3.1947996616363525	2.9499194622039795	2237.7071777372794	0	1009002,21,21	
22	1009213	1001.0499877929688	1	144.95606994628906	-0.297713041305542	-2.247749090194702	1012.4383430529567	0	-1009002,21	
30	1009223	1001.0499877929688	0	48.64250564575195	0.12437277287244797	-0.27714306116104126	1002.249450308096	0	-1009002,21	
30	1000993	1001.0999755859375	0	75.57784271240234	2.8787505626678467	2.210678815841675	1207.1060007403391	0	1009002,21	
34	1009213	1001.0499877929688	1	959.9092407226562	-0.27264049649238586	-2.832676649093628	1411.9961062694213	0	-1009002,21	
34	1092114	1001.375	0	956.3253784179688	-1.133074164390564	0.22761833667755127	1920.5024383151674	0	-1009002,21,21	
35	1009223	1001.0499877929688	0	89.52655792236328	-1.3200865983963013	2.853640556335449	1017.0228031708289	0	1009002,21	
35	1009113	1001.0499877929688	0	423.1349792480469	0.7361302971839905	-0.9063829779624939	1138.8621203535984	0	-1009002,21	
38	1009213	1001.0499877929688	-1	510.3920593261719	-1.4203484058380127	1.0484097003936768	1500.5315296736774	0	1009002,21,21	
38	1009223	1001.0499877929688	0	439.2120666503906	-1.414846658706665	-1.9852046966552734	1385.0546918507453	0	-1009002,21	
39	1009213	1001.0499877929688	1	780.3298950195312	-0.09481532126665115	-2.9021341800689697	1271.4190327887575	0	1009002,21,21,21	
39	1009313	1001.2249755859375	0	711.4865112304688	1.365537405014038	0.3158152103424072	1790.6190092407728	0	1009002,-2	
40	1009213	1001.0499877929688	1	344.06146240234375	-0.7756751179695129	0.4205235540866852	1098.719926600021	0	-1009002,21,21	
40	1009113	1001.0499877929688	0	343.7013244628906	0.18233641982078552	-2.73523211479187	1060.284317425168	0	1009002,21,21,21	
41	1009113	1001.0499877929688	0	603.2552490234375	0.5767382979393005	-2.5862996578216553	1225.1928517289193	0	-1009002,21	
41	1009113	1001.0499877929688	0	584.8685913085938	-0.4826212525367737	0.5604143142700195	1195.9223286523998	0	1009002,21,21	
42	1009113	1001.0499877929688	0	207.74632263183594	0.6590247750282288	-2.8916661739349365	1032.8986918790308	0	1009002,21	
42	1009223	1001.0499877929688	0	149.6989288330078	-2.797724962234497	0.33183667063713074	1587.9222901552982	0	1009002,21	
44	1009113	1001.0499877929688	0	640.6697998046875	1.0251506567001343	2.2726449966430664	1420.5193251805917	0	-1009002,2	
