#Exclusive (bad private samples)																			
species	mass	ptj	ptb	xqcut(MG5)	icckw	qcut(P8)	Summary Cross_section (Generation log)	Summary Cross_section Error (Generation log)	Process@1	Process@1 Error	Process@2	Process@2 Error	Process@3	Process@3 Error	Cross-section Sum @2-3	Cross-section Sum @2-3 Error	Cross-section Sum @2-3/Total Cross-section	Cross-section Sum @2-3/Total Cross-section Error	Ratio: Excusive/Inclusive(Sum @2-3)
gluino	2200	20	20	0	0	N/A	0.0006638	0.000001404	0.0001874212	0.00000102296	0.0002195125	0.000003008919	0.0002542523	0.000003033098	0.0004737648	0.000004272385402	0.7137161796	0.00661091443	
gluino	2200	20	20	20	1	N/A	0.0009638	0.000002158	0.0001865342	0.000001242613	0.0003530002	0.00000456855	0.0004289457	0.000005149151	0.0007819459	0.00000688370577	0.8113155219	0.007369652088	0.10314
gluino	2200	20	20	40	1	N/A	0.0005652	0.000001145	0.0001872942	0.0000009544115	0.000216723	0.000003005233	0.0001600071	0.000002134056	0.0003767301	0.000003685867658	0.6665429936	0.006659680248	0.21408
gluino	2200	20	20	50	1	N/A	0.0004841	0.0000009644	0.0001872022	0.0000009355041	0.0001797976	0.000002300144	0.0001150057	0.000001506107	0.0002948033	0.00000274936733	0.6089719066	0.005807464291	0.27357
																			
gluino	2400	20	20	0	0	N/A	0.0002545	0.0000005396	0.0000759049	0.0000004137811	0.00008423899	0.000001105374	0.00009267625	0.0000011153	0.00017691524	0.00000157026933	0.6951482908	0.006343613095	
gluino	2400	20	20	20	1	N/A	0.000368	0.0000009461	0.0000759309	0.0000005034111	0.0001349655	0.000001712326	0.0001564598	0.000001982745	0.0002914253	0.000002619797333	0.7919165761	0.007404423631	0.107
gluino	2400	20	20	40	1	N/A	0.0002184	0.00000054	0.0000757819	0.0000004002367	0.00008261215	0.00000108606	0.00005813202	0.0000008069775	0.00014074417	0.000001353048044	0.6444330128	0.006396896584	0.22156
gluino	2400	20	20	50	1	N/A	0.0001875	0.0000004883	0.0000757929	0.0000003935739	0.00006987026	0.0000009857747	0.0000421995	0.0000005880755	0.00011206976	0.00000114786086	0.5977053867	0.006316717109	0.27825
																			
gluino	2600	20	20	0	0	N/A	0.0001035	0.0000002497	0.00003276768	0.0000001950347	0.00003351115	0.0000004231122	0.00003647485	0.0000004754832	0.000069986	0.0000006364811131	0.6761932367	0.006362280279	
gluino	2600	20	20	20	1	N/A	0.0001478	0.0000003984	0.00003275148	0.0000002285802	0.00005439615	0.0000005675095	0.00006024664	0.0000007882165	0.00011464279	0.0000009712632411	0.7756616373	0.006896068107	0.108
gluino	2600	20	20	40	1	N/A	0.00008962	0.0000002508	0.00003276278	0.0000001906397	0.0000337597	0.0000004474636	0.00002245113	0.0000002890687	0.00005621083	0.0000005327141697	0.6272130105	0.00619788105	0.22027
gluino	2600	20	20	50	1	N/A	0.00007747	0.000000185	0.00003277738	0.0000001873193	0.00002803709	0.0000004052123	0.00001648666	0.0000002452979	0.00004452375	0.0000004736750656	0.5747224732	0.006266444012	0.27809
