#Exclusive (bad private samples)																			
species	mass	ptj	ptb	xqcut(MG5)	icckw	qcut(P8)	Summary Cross_section (Generation log)	Summary Cross_section Error (Generation log)	Process@1	Process@1 Error	Process@2	Process@2 Error	Process@3	Process@3 Error	Cross-section Sum @2-3	Cross-section Sum @2-3 Error	Cross-section Sum @2-3/Total Cross-section	Cross-section Sum @2-3/Total Cross-section Error	Ratio: Excusive/Inclusive(Sum @2-3)
gluino	1200	20	20	0	        0	    N/A	        1.99E-01	                            4.57E-04	                                    4.71E-02	2.82E-04	    6.84E-02	9.91E-04	    8.43E-02	9.29E-04	    1.53E-01	            1.36E-03	                    7.66E-01	                                7.03E-03	                                        
gluino	1200	20	20	20	        1	    N/A	        2.81E-01	                            6.74E-04	                                    4.72E-02	3.28E-04	    1.01E-01	1.38E-03	    1.30E-01	1.42E-03	    2.31E-01	            1.99E-03	                    8.22E-01	                                7.34E-03	                                        9.38E-02
gluino	1200	20	20	40	        1	    N/A	        1.57E-01	                            3.80E-04	                                    4.71E-02	2.53E-04	    6.08E-02	7.91E-04	    4.82E-02	6.31E-04	    1.09E-01	            1.01E-03	                    6.95E-01	                                6.67E-03	                                        1.99E-01
gluino	1200	20	20	50	        1	    N/A	        1.32E-01	                            3.49E-04	                                    4.72E-02	2.31E-04	    5.15E-02	6.16E-04	    3.30E-02	4.34E-04	    8.46E-02	            7.54E-04	                    6.41E-01	                                5.96E-03	                                        2.56E-01
																			
gluino	1300	20	20	0	        0	    N/A	        1.04E-01	                            2.27E-04	                                    2.47E-02	1.50E-04	    3.50E-02	4.65E-04	    4.32E-02	4.51E-04	    7.82E-02	            6.48E-04	                    7.54E-01	                                6.45E-03	                                        
gluino	1300	20	20	40	        1	    N/A	        1.47E-01	                            4.42E-04	                                    2.48E-02	1.77E-04	    5.29E-02	7.32E-04	    6.90E-02	8.47E-04	    1.22E-01	            1.12E-03	                    8.28E-01	                                8.00E-03	                                        9.45E-02
gluino	1300	20	20	50	        1	    N/A	        8.25E-02	                            1.86E-04	                                    2.48E-02	1.37E-04	    3.18E-02	4.37E-04	    2.55E-02	3.22E-04	    5.73E-02	            5.43E-04	                    6.95E-01	                                6.77E-03	                                        2.01E-01
gluino	1300	20	20	20	        1	    N/A	        6.96E-02	                            1.80E-04	                                    2.48E-02	1.26E-04	    2.69E-02	3.33E-04	    1.73E-02	2.27E-04	    4.42E-02	            4.03E-04	                    6.35E-01	                                6.02E-03	                                        2.61E-01
																			
gluino	1400	20	20	0	        0	    N/A	        5.54E-02	                            9.57E-05	                                    1.34E-02	7.07E-05	    1.87E-02	2.29E-04	    2.31E-02	2.50E-04	    4.18E-02	            3.39E-04	                    7.55E-01	                                6.27E-03	                                        
gluino	1400	20	20	20	        1	    N/A	        7.89E-02	                            1.32E-04	                                    1.34E-02	8.41E-05	    2.84E-02	3.49E-04	    3.71E-02	4.30E-04	    6.56E-02	            5.54E-04	                    8.31E-01	                                7.16E-03	                                        9.58E-02
gluino	1400	20	20	40	        1	    N/A	        4.44E-02	                            9.04E-05	                                    1.34E-02	6.40E-05	    1.73E-02	2.31E-04	    1.36E-02	1.56E-04	    3.09E-02	            2.79E-04	                    6.96E-01	                                6.43E-03	                                        2.03E-01
gluino	1400	20	20	50	        1	    N/A	        3.75E-02	                            8.55E-05	                                    1.34E-02	5.87E-05	    1.45E-02	1.94E-04	    9.57E-03	1.18E-04	    2.40E-02	            2.28E-04	                    6.40E-01	                                6.24E-03	                                        2.62E-01
																			
