event	pdgid	mass	charge	pt	eta	phi	mothers	daughters	longLived
403	1009113	1001.05	0.0	291.144	1050.03	0.41802	1.44441	1009002,21		0
404	1009213	1001.05	1.0	300.475	1049.93	0.326463	-1.71558	-1009002,21		0
407	1009213	1001.05	-1.0	274.003	1061.06	0.736665	-1.66306	-1009002,21		0
408	1009213	1001.05	1.0	363.775	1403.29	1.65154	1.29904	1009002,21,-1		0
409	1009213	1001.05	1.0	1012.16	1428.23	0.113558	-0.312232	1009002,21		0
410	1093324	1001.72	0.0	767.986	1623.64	-1.09647	2.79701	1009002,21		0
411	1009213	1001.05	1.0	293.678	1079.43	0.841069	-2.73179	1009002,-1		0
412	1009213	1001.05	-1.0	311.352	1084.64	0.804105	0.348924	-1009002,21,21		0
413	1009213	1001.05	-1.0	216.924	1151.31	1.61841	-2.19244	1009002,21		0
414	1009213	1001.05	1.0	248	1572.16	2.26934	0.525552	1009002,21		0
415	1009113	1001.05	0.0	697.233	1443.13	-0.954219	-1.51612	-1009002,21,21,21		0
416	1009213	1001.05	1.0	675.076	1366.59	-0.844276	1.85642	-1009002,21,21		0
417	1009213	1001.05	-1.0	398.926	1593.68	-1.80034	0.565907	1009002,21		0
419	1009213	1001.05	1.0	88.5294	1020.71	1.45149	-2.31968	-1009002,21		0
420	1009213	1001.05	1.0	670.156	1205.75	-0.07639	-1.0944	-1009002,21		0
421	1092114	1001.38	0.0	783.117	2097.79	-1.50069	2.30122	1009002,21,21		0
423	1009223	1001.05	0.0	202.22	1698.12	2.60211	-1.4008	-1009002,21		0
424	1092214	1001.38	1.0	404.067	1117.2	-0.660187	1.76839	1009002,21,21		0
426	1000993	1001.1	0.0	219.148	1025.12	-0.115338	0.0624678	-1009002,21		0
430	1009113	1001.05	0.0	211.25	1188.18	-1.77326	-2.97817	1009002,21,21		0
432	1009223	1001.05	0.0	331.195	1147.68	-1.11944	-0.13777	-1009002,21		0
433	1009223	1001.05	0.0	327.144	2011.34	-2.35808	3.11975	1009002,21		0
435	1093214	1001.55	0.0	134.653	2150	-3.3401	2.42954	1009002,21,21		0
436	1009213	1001.05	1.0	48.7153	1172.76	-3.22057	-0.600239	-1009002,21,21		0
438	1009213	1001.05	1.0	548.798	1166.67	-0.425317	0.0325201	-1009002,21		0
439	1009113	1001.05	0.0	580.157	1673.15	-1.48026	-3.10206	1009002,-4		0
441	1009113	1001.05	0.0	795.288	1278.99	-0.0440418	2.25973	-1009002,21,21		0
443	1092214	1001.38	-1.0	793.342	1283.78	-0.158478	-0.874453	1009002,-3		0
444	1000993	1001.1	0.0	321.579	1244.83	-1.4754	-0.85342	-1009002,21		0
445	1009223	1001.05	0.0	734.915	1347.83	-0.663164	2.88942	-1009002,21		0
446	1009213	1001.05	1.0	307.001	1171.17	-1.3054	1.20649	1009002,21		0
447	1009113	1001.05	0.0	368.107	1088.5	-0.560533	-2.03448	-1009002,21,21		0
448	1000993	1001.1	0.0	808.45	1312.4	0.314057	-0.498543	-1009002,21		0
449	1092114	1001.38	0.0	831.432	1352.9	0.430619	2.80735	-1009002,21		0
450	1009323	1001.22	-1.0	932.018	1828.1	1.07921	2.12309	1009002,21,21		0
451	1009223	1001.05	0.0	923.883	1803.21	1.06548	-1.02033	-1009002,21,21		0
453	1009113	1001.05	0.0	256.507	1034.44	0.180509	-0.206826	-1009002,21		0
454	1009213	1001.05	1.0	299.761	1264.04	1.59886	3.06859	1009002,21,21		0
456	1009113	1001.05	0.0	450.958	1130.53	0.566766	1.94696	-1009002,3		0
459	1009213	1001.05	-1.0	517.461	1128.98	-0.132629	-1.21659	1009002,21,21		0
461	1009213	1001.05	1.0	555.866	1183.02	-0.51229	-2.07165	-1009002,21		0
462	1009113	1001.05	0.0	79.5783	1605.83	-3.45079	-1.19225	1009002,21,21,21		0
463	1009213	1001.05	1.0	196.011	1128.7	-1.63415	0.269698	-1009002,21		0
467	1009313	1001.22	0.0	349.23	1060.48	0.041106	-2.97199	1009002,21,21		0
471	1009113	1001.05	0.0	143.049	1091.77	1.77886	-1.23313	-1009002,21		0
474	1009213	1001.46	-1.0	154.199	1238.09	2.23375	2.15036	1009002,-2		0
476	1009213	1001.05	1.0	325.039	1269.37	1.52267	2.97782	-1009002,21,21		0
479	1009113	1001.05	0.0	100.741	1436.82	3.01619	2.31957	1009002,21,21		0
480	1009113	1001.05	0.0	118.16	1034.38	-1.42757	-1.18477	-1009002,21		0
483	1009223	1001.05	0.0	181.47	1019.11	0.322447	2.21192	-1009002,21		0
484	1009113	1001.05	0.0	691.944	1371.47	0.819293	-0.86838	-1009002,21,21		0
486	1009213	1001.05	-1.0	690.417	1371.68	0.82304	2.40819	1009002,21,21		0
488	1009213	1001.05	-1.0	949.413	1382.46	0.0924233	-2.456	-1009002,21,21		0
489	1009213	1001.05	-1.0	874.358	1970.21	-1.28208	0.654264	1009002,21,21,21		0
490	1000993	1001.1	0.0	448.534	1171.66	0.821924	2.92043	-1009002,21,21		0
491	1009313	1001.22	0.0	294.303	1250.27	1.58595	-0.517888	-1009002,21,21		0
493	1009113	1001.05	0.0	852.985	1720.81	-1.07906	3.05916	-1009002,5		0
494	1009223	1001.05	0.0	830.514	1830.57	-1.22269	-0.0710413	1009002,21,21		0
495	1009223	1001.05	0.0	327.08	1391.92	-1.74738	0.00299638	1009002,21,21		0
496	1009213	1001.05	1.0	170.646	1211.42	-2.0629	-2.22087	1009002,21,21		0
498	1009223	1001.05	0.0	758.489	1724.34	1.22635	-1.63864	1009002,21,21		0
503	1093224	1001.55	1.0	696.361	1457.76	0.981056	1.45606	1009002,21,21		0
508	1009223	1001.05	0.0	460.634	1980.1	1.98517	-2.38888	1009002,21,21		0
