phi	pt	mothers	energy	pdg_id	long_lived	charge	eta	mass	event	daughters
2.03212952614	716.534057617	-1009002,21,21,21	1949.37787851	1009213	0	0	-0.285089880228	1801.05004883	10934	
-1.07597589493	791.867858887	-1009002,21,21	1967.93716072	1000993	0	0	0.0529668629169	1801.09997559	10934	
-0.613398492336	658.411437988	1009002,21,21	1949.74119577	1009213	0	0	-0.512530744076	1801.05004883	10935	
2.63878726959	690.04510498	-1009002,1	1928.95273571	1009213	0	0	-0.0438253320754	1801.05004883	10935	
2.96970868111	617.493225098	1009002,21,21	1912.31310262	1009213	0	0	0.285190284252	1801.05004883	10937	
2.2429599762	363.420318604	1009002,21,21	2548.50095448	1009113	0	0	2.28452086449	1801.05004883	10937	
-0.357496827841	293.309906006	-1009002,21,21	1859.69173297	1009213	0	0	-1.03050243855	1801.05004883	10938	
-0.139298334718	126.573242188	1009002,21,21	1930.08356088	1009223	0	1	-2.38617086411	1801.05004883	10938	
-2.08270978928	413.795532227	-1009002,21	2357.38741754	1009213	0	0	-1.97587120533	1801.05004883	10939	
0.928574025631	361.24911499	1009002,-3	3935.48570261	1009213	0	0	-2.96118831635	1801.05004883	10939	
1.58336293697	571.545654297	1009002,21	1910.54535789	1009313	0	0	0.474139928818	1801.22497559	10941	
-1.61830282211	543.977783203	-1009002,21,21	1928.73102574	1009213	0	0	-0.717448353767	1801.05004883	10941	
0.22212356329	580.058410645	-1009002,21,21	3207.09821945	1009223	0	1	2.20153284073	1801.05004883	10942	
-2.92560505867	577.96105957	1009002,21,21,21	2179.45669311	1009213	0	0	1.38548803329	1801.05004883	10942	
-2.41988110542	788.301452637	-1009002,21,21,21	2044.30550586	1009313	0	0	-0.660929262638	1801.22497559	10943	
0.702000558376	767.382019043	1009002,21,21	1962.82149314	1009323	0	0	-0.180438637733	1801.22497559	10943	
1.54205703735	691.847290039	-1009002,21,4	2166.93430686	1009213	0	0	-1.15293526649	1801.05004883	10944	
-0.257133215666	903.206726074	1009002,21,21	2090.16632695	1009223	0	1	0.582223474979	1801.05004883	10944	
0.463328242302	543.219604492	1009002,21	2421.67000086	1009113	0	0	-1.75569176674	1801.05004883	10946	
-2.67216444016	513.101623535	-1009002,21	1976.86125014	1009313	0	0	-1.03697192669	1801.22497559	10946	
-2.56908631325	918.260498047	1009002,21,21	2439.08027482	1009213	0	0	-1.18701076508	1801.05004883	10947	
0.664609491825	1069.22106934	-1009002,21	4074.63051383	1009313	0	0	1.90016508102	1801.22497559	10947	
-0.64301866293	568.822509766	-1009002,21,21	1889.44663641	1009323	0	0	0.0792837962508	1801.22497559	10948	
2.51811075211	563.04296875	1009002,21	2388.5008096	1009223	0	1	1.6839826107	1801.05004883	10948	
1.94798541069	463.909301758	1009002,21,21	1995.34618793	1009223	0	1	1.22652387619	1801.05004883	10949	
-0.937409341335	443.592926025	-1009002,21	1856.65742405	1009223	0	1	-0.18241712451	1801.05004883	10949	
-0.978674829006	375.225280762	-1009002,21	1928.39975109	1009313	0	0	1.21626222134	1801.22497559	10951	
2.19146156311	440.406188965	1009002,21,21,21	3089.68958243	1009313	0	0	2.42583537102	1801.22497559	10951	
-0.774999558926	682.106140137	1009002,21,21,21,21	2175.99816948	1009313	0	0	1.18611681461	1801.22497559	10954	
2.37504911423	686.368774414	-1009002,21,21	1995.39078771	1009323	0	0	-0.694363594055	1801.22497559	10954	
-0.729402661324	1735.54223633	-1009002,21	2501.74145133	1009213	0	0	0.0306046623737	1801.05004883	10955	
2.45979809761	1738.02514648	1009002,21,21	2781.04514852	1009213	0	0	-0.650635719299	1801.05004883	10955	
1.84894299507	188.402786255	-1009002,21,21	1811.80796275	1000993	0	0	0.295527160168	1801.09997559	10956	
-1.30707871914	200.734405518	-1009002,21	2853.48906622	1009213	0	0	3.0913336277	1801.05004883	10956	
1.21526277065	158.889724731	-1009002,3	2635.00390968	1009313	0	0	3.18499016762	1801.22497559	10960	
-0.893411636353	242.040405273	1009002,21,-3	2215.16889577	1000993	0	0	2.35718750954	1801.09997559	10960	
1.5380256176	981.902526855	1009002,21	2472.50607905	1009213	0	0	1.1413449049	1801.05004883	10964	
-1.62952399254	1020.64886475	-1009002,21,21	2633.16279826	1009113	0	0	1.24598956108	1801.05004883	10964	
-0.662163496017	296.556549072	-1009002,21	1944.10252911	1009313	0	0	1.55215704441	1801.22497559	10965	
