event	pdg_id	mass	charge	pt	eta	phi	energy	long_lived	mothers	daughters
19	1009213	1801.050048828125	-1	1126.716064453125	-0.17477750778198242	2.205129384994507	2133.6462111645837	0	-1009002,21,21	
20	1009213	1801.050048828125	-1	441.861083984375	-1.2855406999588013	1.962470531463623	1995.8883919801465	0	-1009002,21	
20	1092214	1801.375	1	435.0068054199219	-1.7932616472244263	-1.1446126699447632	2247.015831419798	0	1009002,21,21	
23	1009323	1801.2249755859375	-1	1266.427734375	1.0359760522842407	-0.26946502923965454	2698.253549156691	0	1009002,21	
23	1000993	1801.0999755859375	0	1277.5126953125	0.6464799046516418	2.8017399311065674	2378.7743245093366	0	1009002,21	
24	1009113	1801.050048828125	0	444.16448974609375	-1.9843717813491821	2.00895094871521	2439.9380831705703	0	-1009002,21	
24	1009313	1801.2249755859375	0	461.4295349121094	0.11124797910451889	-1.053370475769043	1860.100697414368	0	-1009002,21	
25	1009213	1801.050048828125	1	530.62353515625	1.6823108196258545	-1.5608466863632202	2328.7043177977066	0	1009002,21	
25	1000993	1801.0999755859375	0	167.2908477783203	-2.282036542892456	2.391201972961426	1982.2996363117918	0	-1009002,21,21,21	
26	1009313	1801.2249755859375	0	695.9518432617188	0.19274312257766724	-1.7894341945648193	1935.7111943383668	0	1009002,21	
26	1009313	1801.2249755859375	0	933.547607421875	-0.49791601300239563	1.4549046754837036	2085.771888592602	0	1009002,21	
27	1000993	1801.0999755859375	0	432.67633056640625	0.2903127372264862	2.4626426696777344	1856.716577149562	0	-1009002,21,21,21	
27	1009213	1801.050048828125	-1	499.1697082519531	-0.8272541165351868	-0.7114548683166504	1925.1228108257724	0	1009002,21,21	
30	1009223	1801.050048828125	0	1204.998046875	0.8215867877006531	-0.7281522154808044	2432.547028904902	0	1009002,21,-3	
30	1009223	1801.050048828125	0	1212.9208984375	-0.6484907865524292	2.4196739196777344	2329.246106295374	0	-1009002,21,21	
32	1009213	1801.050048828125	-1	803.34326171875	-0.34649941325187683	-0.34075403213500977	1992.4296286952444	0	-1009002,21,21,21	
32	1009223	1801.050048828125	0	636.4239501953125	1.288119912147522	2.616074800491333	2187.535710639843	0	1009002,21,21,21	
34	1091114	1801.375	1	507.1907043457031	0.2037157416343689	-1.9034981727600098	1874.304774239986	0	-1009002,2	
34	1009213	1801.050048828125	-1	629.74658203125	-1.2117924690246582	0.9715983867645264	2137.7168644501585	0	1009002,21	
35	1009113	1801.050048828125	0	1203.1397705078125	-1.104805827140808	1.4995094537734985	2702.7468975247743	0	-1009002,21,21	
35	1009113	1801.050048828125	0	1119.153564453125	-1.004409670829773	-1.7416833639144897	2499.248096202976	0	1009002,21,21,21	
