PDGID,      oldName,         newName,          Pythia8_1800Mass,    Pythia8_namingScheme     
-1093314,   ~g_Xi*bar+,      Rbar+_~g_ssd,    1801.725,             Rbar+(~g ssd)
-1093324,   ~g_Xi*bar0,      Rbar0_~g_ssu,    1801.725,             Rbar0(~g ssu)
-1093334,   ~g_Omegabar+,    Rbar+_~g_sss,    1801.900,             Rbar+(~g sss)
1094214,    none,            R+_~g_cud,       1802.650,             R+(~g cud)       
1094114,    none,            R0_~g_cdd,       1802.650,             R0(~g cdd)      
1009413,    none,            R+_~g_c_dbar,    1802.325,             R+(~g c dbar)
1009423,    none,            R0_~g_c_ubar,    1802.325,             R0(~g c ubar)
1009433,    none,            R+_~g_c_sbar,    1802.500,             R+(~g c sbar)
1009443,    none,            R0_~g_c_cbar,    1803.600,             R0(~g c cbar) 
1009513,    none,            R0_~g_d_bbar,    1805.725,             R0(~g d bbar)    
1009523,    none,            R+_~g_u_bbar,    1805.725,             R+(~g u bbar)
1009533,    none,            R0_~g_s_bbar,    1805.900,             R0(~g s bbar)  
1009543,    none,            R+_~g_c_bbar,    1807.000,             R+(~g c bbar)
1009553,    none,            R0_~g_b_bbar     1810.400,             R0(~g b bbar) 
1094224,    none,            R++_~g_cuu,      1802.650,             R++(~g cuu)   
1094314,    none,            R0_~g_csd,       1802.825,             R0(~g csd) 
1094324,    none,            R+_~g_csu,       1802.825,             R+(~g csu)       
1094334,    none,            R0_~g_css,       1803.000,             R0(~g css)   
1095114     none,            R+_~g_bdd,       1806.050,             R-(~g bdd)
1095214     none,            R0_~g_bud,       1806.050,             R0(~g bud)
1095224     none,            R-_~g_buu,       1806.050,             R+(~g buu)
1095314     none,            R+_~g_bsd,       1806.225,             R-(~g bsd)
1095324     none,            R0_~g_bsu,       1806.225,             R0(~g bsu)
1095334     none,            R+_~g_bss,       1806.400,             R-(~g bss)
-1094214,   none,            Rbar-_~g_cud,    1802.650,             Rbar-(~g cud)
-1009413,   none,            R-_~g_d_cbar_,   1802.325,             R-(~g d cbar) 
-1009423,   none,            R0_~g_u_cbar,    1802.325,             R0(~g u cbar)
-1009433,   none,            R-_~g_s_cbar,    1802.500,             R-(~g s cbar)
-1009513,   none,            R0_~g_d_bbar,    1805.725,             R0(~g b dbar)
-1009523,   none,            R-_~g_b_ubar,    1805.725,             R-(~g b ubar)
-1009533,   none,            R0_~g_b_sbar,    1805.900,             R0(~g b sbar) 
-1009543,   none,            R-_~g_b_cbar     1807.000,             R-(~g b cbar)
-1094114,   none,            Rbar0_~g_cdd,    1802.650,             Rbar0(~g cdd)
-1094224,   none,            Rbar--_~g_cuu,   1802.650,             Rbar--(~g cuu)
-1094314,   none,            Rbar0_~g_csd,    1802.825,             Rbar0(~g csd)
-1094324,   none,            Rbar-_~g_csu,    1802.825,             Rbar-(~g csu)
-1094334,   none,            Rbar0_~g_css,    1803.000,             Rbar0(~g css) 
-1095114,   none             Rbar+_~g_bdd,    1806.050,             Rbar-(~g bdd)
-1095214,   none             Rbar0_~g_bud,    1806.050,             Rbar0(~g bud)
-1095224,   none             Rbar-_~g_buu,    1806.050,             Rbar+(~g buu)
-1095314,   none             Rbar+_~g_bsd,    1806.225,             Rbar-(~g bsd)
-1095324,   none             Rbar0_~g_bsu,    1806.225,             Rbar0(~g bsu)
-1095334,   none             Rbar+_~g_bss,    1806.400,             Rbar-(~g bss)

