event	pdgid	mass	charge	pt	energy	eta	phi	mothers	daughters	longLived
170	1009313	1801.22	0.0	638.722	3076.37	-2.03847	0.0172772	1009002,21,21		0
172	1009213	1801.05	1.0	42.8544	1801.71	-0.512353	-0.829887	-1009002,21		0
174	1009313	1801.22	0.0	75.034	2142.17	-3.42992	1.87725	1009002,21,21		0
175	1009213	1801.05	-1.0	541.935	1995.74	-1.03606	-1.29719	-1009002,21,21		0
177	1009213	1801.05	1.0	596.366	1951.05	0.703686	2.1024	1009002,21,21		0
178	1009223	1801.05	0.0	1150.59	2275.03	0.634346	-0.887533	-1009002,21,21		0
179	1009223	1801.05	0.0	1155	2150.01	0.182114	2.29604	1009002,21		0
183	1009113	1801.05	0.0	229.28	2165.51	-2.34103	0.401809	-1009002,1		0
184	1009113	1801.05	0.0	293.397	2255.63	-2.21349	-2.61907	1009002,21		0
185	1009323	1801.22	1.0	1060.19	2723.53	1.27366	1.46917	1009002,21,21		0
186	1009113	1801.05	0.0	1057.94	2966.28	1.43951	-1.67047	-1009002,21		0
187	1009223	1801.05	0.0	736.757	1946.67	-0.0732577	0.845124	1009002,21,21		0
189	1009223	1801.05	0.0	360.602	1840	-0.296646	-1.77328	1009002,21,21		0
190	1009213	1801.05	-1.0	1297.92	2500.7	0.799097	-1.41088	1009002,21		0
192	1092214	1801.38	-1.0	1298.44	2275.61	0.374343	1.59748	-1009002,21,21		0
195	1009223	1801.05	0.0	845.942	2200.81	-0.958083	-0.0355274	-1009002,21		0
196	1009313	1801.22	0.0	844.912	2115.21	0.771258	3.06937	1009002,21,21,21		0
197	1009213	1801.05	-1.0	969.434	2120.18	0.547944	-2.24823	-1009002,21,21		0
198	1093224	1801.55	1.0	262.132	1824.61	-0.450389	0.840271	-1009002,21		0
200	1009323	1801.22	1.0	466.19	1860.75	0.0550881	2.34528	1009002,21		0
206	1009113	1801.05	0.0	568.095	1938.21	0.707119	-0.827601	1009002,21,21		0
209	1009113	1801.05	0.0	1546.3	4055.23	-1.49873	3.09953	-1009002,21,21		0
210	1009213	1801.05	-1.0	1508.19	2536.22	-0.597668	-0.0481366	1009002,21		0
211	1009113	1801.05	0.0	1149.64	2222.76	-0.510359	1.28277	-1009002,21		0
212	1009113	1801.05	0.0	1147.18	3271.74	-1.51331	-1.86154	1009002,21,21		0
213	1009213	1801.05	1.0	383.353	2924.19	-2.47947	-1.89554	1009002,21		0
214	1009213	1801.05	-1.0	679.613	1992.03	-0.696268	2.31544	1009002,21,21		0
215	1009213	1801.05	1.0	1053.98	2089.56	-0.102106	-1.0189	1009002,21		0
216	1009223	1801.05	0.0	845.33	2547.41	1.38957	2.12905	1009002,21		0
218	1009213	1801.05	-1.0	755.137	2049.33	-0.750111	-1.21603	-1009002,21,21		0
220	1009213	1801.05	-1.0	822.847	1994.83	-0.289791	1.82759	-1009002,21		0
224	1009223	1801.05	0.0	285.038	1876.15	-1.22154	1.50331	-1009002,1		0
229	1009213	1801.05	-1.0	287.004	2355.91	-2.35023	-1.67244	1009002,21,21		0
231	1009223	1801.05	0.0	1296.55	2341.04	-0.547207	-0.345227	-1009002,21		0
232	1009213	1801.05	-1.0	1389.21	2735.96	0.946634	2.8446	1009002,-1		0
237	1009113	1801.05	0.0	974.922	2219.25	-0.791579	-0.907154	-1009002,21,21		0
238	1009213	1801.05	-1.0	998.403	2163.7	-0.623874	2.69653	1009002,21,21		0
239	1009213	1801.05	-1.0	859.86	2107.58	0.723025	2.66429	1009002,21		0
241	1009213	1801.05	1.0	823.421	2091.2	0.744999	-0.546711	-1009002,2		0
242	1092114	1801.38	0.0	706.715	2036.74	0.808346	1.12318	1009002,21,21		0
243	1009113	1801.05	0.0	795.137	1997.19	0.410678	-2.09754	-1009002,21,21		0
244	1009323	1801.22	1.0	109.78	2272.94	-3.2275	2.67268	-1009002,21		0
245	1009323	1801.22	-1.0	90.8241	3016.95	-3.97549	-0.16708	1009002,21,21,-3		0
246	1009313	1801.22	0.0	554.591	1885.59	-0.105776	-0.188288	1009002,21,21		0
249	1009113	1801.05	0.0	644.024	2051.75	-0.985359	2.76044	-1009002,21,21,21		0
250	1009213	1801.05	-1.0	907.592	2743.85	-1.46571	-1.21709	-1009002,21,21		0
251	1009223	1801.05	0.0	877.234	2342.42	-1.12854	1.89844	1009002,-4		0
254	1009313	1801.22	0.0	537.864	2498.64	1.83736	2.6015	1009002,-3		0
255	1009313	1801.22	0.0	592.28	2104.74	1.21815	-0.316977	-1009002,21		0
256	1009213	1801.05	1.0	1186.55	2238.29	0.485184	-1.16112	-1009002,21		0
257	1009113	1801.05	0.0	1036.47	2139.14	0.472181	2.08337	1009002,-4		0
258	1009313	1801.22	0.0	598.805	2630.45	1.83139	-2.93874	1009002,21		0
259	1009113	1801.05	0.0	611.076	1980.35	0.811189	0.18685	-1009002,21,21		0
260	1009323	1801.39	-1.0	257.718	1826.64	-0.582509	0.397057	-1009002,3		0
261	1009223	1801.05	0.0	256.011	1829.71	0.706469	-2.62999	1009002,21,21		0
262	1000993	1801.1	0.0	506.75	1871.88	0.11129	1.57223	-1009002,21,21		0
264	1009213	1801.05	-1.0	491.76	2192.62	-1.58536	-1.58909	1009002,21,21		0
265	1000993	1801.1	0.0	605.803	1938.95	-0.599651	0.84173	-1009002,21		0
266	1009213	1801.05	-1.0	226.786	2183.57	-2.37908	-2.41047	1009002,21,-1		0
269	1009113	1801.05	0.0	605.808	1976.35	0.806509	1.00036	-1009002,21,21		0
273	1009313	1801.22	0.0	605.236	1998.28	0.896666	-2.17039	1009002,21,21		0
277	1009113	1801.05	0.0	601.467	1918.98	-0.446202	-0.0340196	-1009002,21,21		0
278	1092114	1801.38	0.0	602.071	2300.19	1.51088	3.12965	1009002,21,21		0
280	1009223	1801.05	0.0	469.689	1876.8	-0.492573	-2.36512	-1009002,21,21		0
281	1009323	1801.22	1.0	454.626	1872.36	0.493786	0.757766	1009002,21		0
283	1009113	1801.05	0.0	321.326	2142.4	-1.95731	1.57564	-1009002,21,21		0
285	1009223	1801.05	0.0	291.099	1826.18	0.272052	-1.48516	-1009002,21		0
286	1000993	1801.1	0.0	685.889	2108.13	1.04479	1.74259	-1009002,21,21		0
288	1009223	1801.05	0.0	729.367	1947.52	0.178201	-1.39342	1009002,21		0
291	1009113	1801.05	0.0	749.308	2924.29	1.78877	0.322716	1009002,21		0
294	1009223	1801.05	0.0	506.321	1883.53	-0.41829	-0.830502	-1009002,21,21		0
295	1009213	1801.05	1.0	553.669	1898.35	-0.406076	-0.821483	-1009002,21		0
296	1009113	1801.05	0.0	674.48	1987.2	-0.686468	2.42323	1009002,21,21		0
297	1009213	1801.05	-1.0	481.246	3058.35	2.31985	-1.07589	1009002,21,21		0
299	1009213	1801.05	1.0	469.736	2037.42	1.33284	2.05365	-1009002,21,21		0
300	1009313	1801.22	0.0	1027.59	2154.91	0.543092	1.94347	-1009002,21		0
303	1009213	1801.05	1.0	1067.11	2316.9	0.831225	-1.19199	-1009002,21,21,21		0
304	1009113	1801.05	0.0	161.805	2137.76	2.65072	2.93901	-1009002,21,21		0
305	1009213	1801.05	1.0	389.322	1914.65	1.10019	-0.670586	1009002,21		0
306	1009223	1801.05	0.0	1045.94	2141.05	-0.458306	-1.17135	-1009002,21,21,21		0
307	1009223	1801.05	0.0	991.42	2214.13	-0.755236	1.89038	1009002,21		0
310	1009113	1801.05	0.0	916.47	2149.74	0.732748	2.55821	-1009002,21,21		0
312	1009113	1801.05	0.0	916.789	2574.92	-1.32113	-0.584524	1009002,21,21		0
313	1009223	1801.05	0.0	486.517	2602.44	-2.02692	1.95986	1009002,21		0
315	1009223	1801.05	0.0	484.22	3162.69	-2.365	-1.11513	-1009002,21		0
316	1000993	1801.1	0.0	461.489	2130.46	1.55175	-0.187658	-1009002,21		0
318	1009213	1801.05	1.0	771.963	1994.37	-0.464071	2.92159	1009002,21		0
319	1000993	1801.1	0.0	652.144	2256.61	-1.36453	2.95845	-1009002,21,21,21		0
320	1092114	1801.38	0.0	623.403	2059.24	1.04737	0.0183566	1009002,21		0
322	1009223	1801.05	0.0	369.108	2542.75	-2.26404	-1.43735	-1009002,21		0
323	1000993	1801.1	0.0	349.177	1859.06	0.77901	1.87111	1009002,21,21		0
324	1009323	1801.22	1.0	847.065	2832.46	1.60133	-1.38145	-1009002,21		0
325	1009313	1801.22	0.0	986.206	2155.49	0.623133	1.66868	-1009002,21,21		0
326	1009223	1801.05	0.0	1501.73	2898.15	0.973051	0.986903	1009002,21,21		0
327	1009213	1801.05	-1.0	1496.53	2570.2	0.659182	-2.15949	-1009002,21,21		0
328	1009323	1801.22	1.0	175.653	1875.69	1.7553	1.02557	-1009002,21,21		0
330	1009223	1801.05	0.0	42.5602	1837.44	2.83553	2.23479	-1009002,21,21		0
332	1009313	1801.22	0.0	554.011	1890.15	-0.260543	-1.75577	-1009002,21,21		0
334	1009113	1801.05	0.0	496.578	1898.05	0.631791	1.20627	1009002,21		0
336	1000993	1801.1	0.0	535.917	2245.63	1.56796	0.829827	-1009002,21		0
337	1009313	1801.22	0.0	495.098	2243.61	1.65093	-2.25202	1009002,21		0
338	1009113	1801.05	0.0	91.2679	1828.34	-1.90931	0.653562	-1009002,21,21		0
342	1009213	1801.05	-1.0	101.008	2246.02	-3.27841	-2.55682	1009002,21,21		0
344	1009323	1801.22	-1.0	646.426	2235.71	-1.34467	2.42764	-1009002,21,21		0
345	1009223	1801.05	0.0	604.376	2576.25	-1.77954	-0.758896	1009002,21,21		0
346	1009213	1801.05	1.0	1200.04	2202.36	0.333816	2.65405	-1009002,21		0
347	1009213	1801.05	1.0	1242.51	2930.52	1.23242	-0.472392	-1009002,1		0
350	1009313	1801.22	0.0	590.601	2229.27	1.43757	2.4975	-1009002,21,21,21		0
353	1009113	1801.05	0.0	586.992	2473.46	1.72237	-0.670499	1009002,21,21		0
354	1009313	1801.22	0.0	306.027	1912.77	-1.37459	-1.2065	1009002,21,21		0
356	1009213	1801.05	1.0	192.83	2097.12	-2.40262	1.79626	1009002,21,21		0
357	1009213	1801.05	1.0	416.736	1890.44	-0.844671	0.598528	-1009002,21		0
358	1009213	1801.05	-1.0	405.136	2002.02	-1.40367	-2.66455	1009002,21		0
359	1009213	1801.05	1.0	368.535	1870.18	-0.832515	1.03056	-1009002,21		0
360	1009113	1801.05	0.0	362.209	2145.43	-1.83704	-2.26615	1009002,21		0
362	1093114	1801.55	1.0	321.375	1871.9	1.03226	-2.1162	1009002,21		0
365	1093214	1801.55	0.0	68.0221	2054.28	3.36695	0.585163	1009002,21,21		0
368	1009213	1801.05	-1.0	1360.89	2309.63	0.351638	-0.146591	-1009002,21,21		0
369	1092214	1801.38	1.0	1359.23	2518.57	-0.75037	2.97556	1009002,21,21		0
370	1009223	1801.05	0.0	683.934	2114.89	1.06354	-3.08789	1009002,21		0
371	1009223	1801.05	0.0	707.453	2055.25	-0.8665	-0.0535484	-1009002,21		0
374	1009113	1801.05	0.0	534.042	3431.87	2.38399	1.7155	-1009002,21,21		0
376	1092114	1801.38	0.0	535.324	1913.58	0.631434	-1.43131	1009002,21,21		0
378	1009223	1801.05	0.0	428.09	1880.28	-0.708396	-0.432035	1009002,21		0
381	1009213	1801.05	-1.0	356.788	1849.18	0.582944	1.67849	-1009002,21		0
382	1092214	1801.38	-1.0	291.349	1924.73	1.48797	-2.27387	-1009002,21		0
383	1009113	1801.05	0.0	368.447	1847.87	0.488704	0.961477	-1009002,21,21		0
389	1009223	1801.05	0.0	522.345	2228.51	1.57227	-1.45853	-1009002,21,21		0
390	1009223	1801.05	0.0	518.254	2649.97	1.99684	1.62941	1009002,21,21		0
392	1009213	1801.05	1.0	800.34	1989.1	-0.329699	0.644316	-1009002,1		0
393	1009213	1801.05	-1.0	807.679	2459.26	-1.35828	-2.53029	1009002,21,21		0
395	1009213	1801.05	1.0	975.8	2061.93	0.239337	-2.86988	-1009002,21		0
396	1000993	1801.1	0.0	967.712	2296.93	-0.93789	0.273021	1009002,21		0
398	1009113	1801.05	0.0	576.14	1891.15	0.0465021	1.76706	-1009002,21		0
400	1000993	1801.1	0.0	567.263	1889.63	-0.123677	-1.26524	-1009002,1		0
401	1092214	1801.38	1.0	479.345	1874.72	0.405297	-1.59381	1009002,21		0
404	1091114	1801.38	1.0	321.095	1906.3	-1.28308	2.04276	1009002,21		0
405	1009223	1801.05	0.0	355.094	1865.83	0.838416	-2.62605	-1009002,21,21		0
407	1000993	1801.1	0.0	266.962	1901.3	1.46606	1.39419	1009002,21,21		0
408	1009213	1801.05	1.0	543.786	1939.12	-0.781787	-0.94244	-1009002,21		0
409	1009113	1801.05	0.0	550.734	1908.58	-0.535391	2.1826	1009002,21,21		0
410	1000993	1801.1	0.0	186.298	2080.32	2.40567	-0.0756599	-1009002,21,21		0
414	1009223	1801.05	0.0	202.59	2057.26	-2.27341	-3.08902	1009002,21		0
415	1000993	1801.1	0.0	1004.14	2937.23	1.48017	2.77298	-1009002,2		0
418	1009313	1801.22	0.0	921.935	2803.5	1.48951	-1.35426	1009002,21		0
420	1009113	1801.05	0.0	448.945	2052.33	1.42123	3.00711	-1009002,21		0
423	1009213	1801.05	1.0	413.715	1848.03	-0.0389153	-0.157064	-1009002,21,21		0
424	1009213	1801.05	1.0	692.105	2077.84	-0.959852	0.108728	-1009002,21,21		0
428	1092214	1801.38	-1.0	716.366	1939.71	-0.0918466	-3.07763	-1009002,21,21		0
429	1093114	1801.55	-1.0	1162.94	2148.42	-0.114135	2.67722	1009002,21		0
430	1009213	1801.05	1.0	1055.17	2111.97	0.300029	-0.425379	1009002,21,21		0
431	1009313	1801.22	0.0	632.497	2014.19	-0.892235	1.64793	-1009002,21		0
433	1009323	1801.22	-1.0	680.718	1940	-0.34038	-1.42548	1009002,21,21		0
434	1009223	1801.05	0.0	1089.45	2122.75	0.249384	-2.86975	1009002,21		0
437	1000993	1801.1	0.0	1111.56	2328.93	0.789621	0.244391	-1009002,21		0
439	1009213	1801.05	-1.0	1177.78	3004.41	1.34073	-2.20877	1009002,21		0
440	1009223	1801.05	0.0	1192.88	3170.44	1.41892	0.890194	-1009002,21,21		0
442	1009213	1801.05	1.0	790.713	2029.86	-0.597785	2.69267	-1009002,21		0
443	1009213	1801.05	-1.0	788.779	2021.8	-0.566217	-0.448731	1009002,-1		0
444	1009113	1801.05	0.0	1380.15	2361.69	0.458355	-2.75198	1009002,21,21		0
