event	pdgid	mass	charge	pt	eta	phi	mothers	daughters	longLived
176	1000993	1801.1	0.0	248.236	3121.49	-3.02003	-3.07862	1009002,21,21		0
177	1009213	1801.05	1.0	616.905	2468.15	1.66427	-1.98564	1009002,21,21		0
179	1009213	1801.05	-1.0	590.517	2098.2	-1.20804	1.18205	-1009002,21,21		0
180	1009213	1801.11	1.0	535.882	1994.57	-1.04624	-0.109217	-1009002,2		0
181	1009223	1801.05	0.0	1251.95	2299.04	-0.525632	-3.12979	-1009002,21		0
184	1000993	1801.1	0.0	625.757	1959.18	-0.668795	-0.433314	-1009002,21		0
185	1009213	1801.05	-1.0	698.582	2176.77	-1.15881	2.72344	1009002,21		0
186	1009213	1801.05	-1.0	1069.56	2127.65	0.342052	0.757842	1009002,21		0
187	1000993	1801.1	0.0	928.146	2092.87	0.538292	-2.50541	-1009002,21,21,21		0
188	1000993	1801.1	0.0	1332.79	2334.42	-0.473644	-1.02041	-1009002,4		0
191	1009223	1801.05	0.0	1305.79	2380.36	-0.610017	2.12011	1009002,21,21		0
192	1009113	1801.05	0.0	76.475	1802.93	-0.390186	-1.14209	-1009002,21,21		0
193	1009213	1801.05	-1.0	49.5898	2145.66	-3.85043	1.95425	1009002,21		0
194	1092224	1801.38	-2.0	1954.98	2871.28	0.529872	2.33493	-1009002,21		0
195	1009213	1801.05	1.0	1920.66	2633.01	-0.00363804	-0.758817	1009002,21		0
198	1009113	1801.05	0.0	1224.5	2188.35	-0.173687	-1.36732	-1009002,21,21		0
199	1009213	1801.58	-1.0	1217.11	3271.14	-1.44724	1.7617	1009002,-2		0
201	1009223	1801.05	0.0	504.058	3774.42	2.57145	0.458594	1009002,21,21		0
205	1009323	1801.22	-1.0	180.981	1843.9	1.41472	-2.86208	-1009002,21		0
206	1000993	1801.1	0.0	667.613	1920.93	-0.0261057	1.70892	-1009002,21		0
210	1009113	1801.05	0.0	497.107	1869.01	-0.0964607	-1.43792	1009002,-3		0
211	1093324	1801.72	0.0	1049	2708.73	1.27444	1.46864	1009002,21		0
212	1009313	1801.22	0.0	1064.09	2974.87	1.43807	-1.66767	-1009002,1		0
214	1009213	1801.05	-1.0	882.117	2389.91	1.18004	0.156633	1009002,21		0
215	1009213	1801.05	1.0	914.024	2961.31	1.5976	-2.98203	-1009002,21,21		0
217	1009223	1801.05	0.0	861.429	2204.54	-0.940455	-0.0460967	-1009002,21,21		0
219	1009213	1801.05	1.0	831.929	2109.98	0.781532	3.06903	1009002,21		0
220	1092214	1801.38	1.0	643.813	2134.06	-1.17759	0.351347	1009002,21,21		0
221	1009223	1801.05	0.0	643.672	2334.36	1.47851	-2.81922	-1009002,2		0
222	1009213	1801.05	1.0	220.782	1839.74	-1.12315	-2.31384	-1009002,21,21		0
223	1009113	1801.75	0.0	258.836	2351.73	2.45033	0.621423	-1009002,1		0
225	1000993	1801.1	0.0	1516.36	2544.73	-0.600092	-0.00189884	1009002,21		0
226	1009213	1801.05	1.0	1543.16	4051.46	-1.49969	3.07644	-1009002,21,21		0
227	1009213	1801.05	-1.0	308.82	1917.64	-1.39009	1.16737	-1009002,2		0
228	1000993	1801.1	0.0	233.658	2881.29	2.95481	-1.55589	1009002,21		0
231	1093314	1801.72	1.0	678.412	2113.85	1.07028	0.881853	-1009002,21		0
232	1009213	1801.05	1.0	684.103	1949.96	-0.426865	-2.26686	-1009002,21,1		0
235	1009113	1801.05	0.0	884.966	2098.77	-0.648255	-2.98823	-1009002,21		0
236	1093214	1801.55	0.0	900.133	2022.9	-0.210117	0.175472	1009002,21,21		0
239	1009323	1801.22	1.0	1316.61	2432.72	0.68231	-2.76475	1009002,21		0
241	1091114	1801.38	1.0	1295.73	2222.71	-0.099127	0.411863	-1009002,21,21		0
243	1009213	1801.05	-1.0	381.939	1901.83	1.04652	-1.75923	1009002,21		0
245	1009223	1801.05	0.0	165.945	1924.44	-2.08533	2.64132	1009002,21		0
248	1000993	1801.1	0.0	900.914	2208.71	-0.886204	0.0140075	-1009002,21,21		0
249	1000993	1801.1	0.0	655.705	3612.34	2.24549	2.79844	1009002,21,21		0
252	1009113	1801.05	0.0	596.728	1938.31	-0.62328	0.832305	1009002,21,21		0
254	1009213	1801.05	-1.0	251.497	2171.16	-2.25523	-2.36682	-1009002,21,21		0
255	1009113	1801.05	0.0	1056.79	2190.61	0.591314	1.90229	-1009002,21,21,21		0
258	1009213	1801.05	-1.0	1050.18	2391.69	-0.961056	-1.23176	1009002,21		0
259	1000993	1801.1	0.0	1219.29	2242.94	0.435432	0.846066	-1009002,21,21		0
260	1009213	1801.05	-1.0	1274.3	2341.38	-0.581768	-2.28305	1009002,21		0
261	1093214	1801.55	0.0	960.449	2047.89	-0.166525	-0.967882	-1009002,21,21,21		0
263	1000993	1801.1	0.0	911.869	2548.32	1.30357	2.12367	1009002,21,21		0
264	1009313	1801.22	0.0	1154.31	2196.57	0.419098	1.74072	-1009002,21,3		0
266	1009323	1801.22	1.0	1125.71	2350.98	0.805279	-1.50386	1009002,21,21,21		0
267	1009213	1801.05	-1.0	396.609	1981.66	-1.36418	-2.80938	-1009002,21		0
269	1009113	1801.05	0.0	433.693	1873.23	0.603035	-0.138937	1009002,21		0
270	1009223	1801.05	0.0	1270.19	2755.4	1.07968	2.03031	1009002,21,21		0
271	1009213	1801.05	1.0	1221.59	2235.37	-0.406757	-1.10617	-1009002,21,21		0
272	1009213	1801.05	-1.0	333.032	1833.58	0.254521	-1.51662	1009002,21		0
274	1092114	1801.38	0.0	326.605	2131.56	-1.92159	1.5863	1009002,21,21		0
275	1092114	1801.38	0.0	109.332	2271.47	-3.2297	2.81886	-1009002,21		0
276	1091114	1801.38	-1.0	97.8335	3012.77	-3.89889	-0.305839	1009002,21		0
279	1009223	1801.05	0.0	831.048	1999.72	-0.30094	0.813245	-1009002,21		0
283	1009223	1801.05	0.0	981.961	2821.72	1.43155	-2.25703	1009002,21		0
284	1009313	1801.22	0.0	1104.85	2537.14	-1.06065	-1.73487	-1009002,21		0
285	1000993	1801.1	0.0	1014.92	2068.11	0.0542679	1.13601	1009002,21,21		0
288	1009113	1801.05	0.0	1042.34	2088.7	0.171877	2.38674	-1009002,2		0
289	1009313	1801.22	0.0	1062.67	3170.02	-1.54683	-0.73297	1009002,21,21		0
293	1009213	1801.05	-1.0	1116.26	2934.64	-1.35957	2.41431	-1009002,21		0
294	1009213	1801.91	1.0	1077.65	3893.74	-1.83193	-0.798854	1009002,-1		0
295	1009213	1801.05	-1.0	461.026	2168.53	-1.61764	-1.60076	1009002,21,21		0
296	1009113	1801.05	0.0	461.989	1859.97	0.1028	1.51079	-1009002,21,21,21		0
297	1009113	1801.05	0.0	904.17	2065.23	-0.480633	-2.54942	1009002,21,21		0
298	1009113	1801.05	0.0	895.008	2014.12	-0.121345	0.558098	-1009002,21		0
299	1009113	1801.05	0.0	247.549	2263.42	2.39649	2.4871	-1009002,21,21		0
303	1009113	1801.05	0.0	298.735	2563.59	2.49579	-0.73143	1009002,21,21		0
308	1009213	1801.05	-1.0	462.647	2034.81	1.34355	2.06567	-1009002,21,21		0
309	1009213	1801.05	1.0	476.858	3057.08	2.32854	-1.08763	1009002,21		0
311	1009113	1801.05	0.0	159.531	1995.07	-2.36699	-1.27963	-1009002,21		0
314	1009213	1801.05	-1.0	78.0274	1804.93	0.977097	0.641892	-1009002,21,21		0
315	1009113	1801.05	0.0	516.087	2883.08	2.15273	-0.797729	-1009002,21,21		0
318	1009213	1801.05	-1.0	397.236	1945.42	-1.22658	2.09378	1009002,21,21		0
319	1009333	1801.4	0.0	487.068	1866.59	-0.0892775	0.153084	-1009002,21,21		0
320	1009213	1801.05	1.0	417.335	2194.86	1.76481	-2.03778	1009002,21,21,21		0
322	1009213	1801.05	1.0	487.65	3204.1	-2.37729	-1.15053	-1009002,21,21		0
323	1009213	1801.05	-1.0	475.218	2607.48	-2.05506	1.96754	1009002,21		0
324	1009213	1801.05	-1.0	1172.53	3848.61	1.72698	-1.51206	-1009002,21,21,3		0
325	1009213	1801.05	1.0	1570.87	2415.26	0.220626	1.1718	1009002,21,21		0
329	1009213	1801.05	-1.0	421.266	1943.85	-1.14895	0.599008	-1009002,5		0
333	1009213	1801.05	1.0	327.039	1900.25	-1.22745	-1.86765	1009002,21,21		0
339	1000993	1801.1	0.0	1234.79	2625.18	1.00309	-0.834419	-1009002,21		0
340	1000993	1801.1	0.0	326.512	1842.57	0.607824	-2.87802	1009002,21		0
341	1093114	1801.55	1.0	1107.15	2379.04	-0.870486	1.99155	1009002,21		0
345	1009223	1801.05	0.0	1158.58	2141.93	0.0364135	-1.13961	1009002,21		0
346	1009223	1801.05	0.0	387.302	1907.64	1.06548	-0.283822	1009002,-2		0
347	1000993	1801.1	0.0	366.943	3144.22	2.63731	2.84085	1009002,21		0
349	1009113	1801.05	0.0	683.342	3337.64	-2.09197	0.850637	-1009002,21		0
354	1000993	1801.1	0.0	680.085	2861.28	-1.85341	-2.27281	1009002,-1		0
357	1009213	1801.05	1.0	724.235	1952.56	-0.286368	0.439389	-1009002,21		0
360	1009213	1801.05	-1.0	749.599	1952.52	0.108635	-2.7283	1009002,21,21		0
362	1092114	1801.38	0.0	428.153	2242.3	-1.8038	1.04809	1009002,21		0
363	1009213	1801.05	-1.0	423.849	1852.2	0.199323	-2.13999	1009002,21,21		0
365	1009213	1801.05	-1.0	2433.19	3064.87	0.195526	-1.23708	1009002,21		0
366	1000993	1801.1	0.0	2054.42	4374.84	-1.28199	1.94895	-1009002,2		0
368	1009313	1801.22	0.0	1526.64	2598.44	0.661328	-2.1478	-1009002,21,21		0
369	1009313	1801.22	0.0	1459.95	2911.43	1.01987	0.975267	1009002,21,21		0
370	1009213	1801.05	-1.0	1205.86	2206.1	0.334617	2.6449	1009002,21		0
372	1009213	1801.05	1.0	1234.03	2919.2	1.23315	-0.467375	1009002,-3		0
374	1009223	1801.05	0.0	510.665	2231.86	1.60155	0.850033	-1009002,21		0
376	1009213	1801.05	1.0	524.276	2245.55	1.59182	-2.27227	1009002,21		0
380	1009213	1801.05	1.0	600.828	2582.55	-1.7908	-0.715254	1009002,21,21		0
381	1000993	1801.1	0.0	631.146	2236.98	-1.37397	2.39108	-1009002,21		0
384	1009223	1801.05	0.0	1267.37	3123.7	1.32487	-0.549288	1009002,21,21		0
385	1009223	1801.05	0.0	1272.59	2272.43	0.418568	2.57507	-1009002,21		0
387	1009213	1801.05	-1.0	1418.29	2412.02	0.506827	2.51121	1009002,21		0
389	1009213	1801.05	1.0	1435.33	2312.16	-0.142471	-0.63682	-1009002,21,21		0
390	1009223	1801.05	0.0	602.553	2235.78	1.42468	2.4682	-1009002,21,21		0
391	1009213	1801.05	1.0	571.614	2475.46	1.75244	-0.641849	1009002,21,21,21		0
392	1009113	1801.05	0.0	527.287	2030.43	1.17803	2.0747	-1009002,21,21		0
399	1009223	1801.05	0.0	601.856	2204.06	1.37875	-0.985346	-1009002,21		0
406	1009213	1801.05	-1.0	761.912	2173.2	1.0439	-2.30605	-1009002,2		0
408	1092214	1801.38	1.0	763.031	2741.63	1.65363	0.821559	1009002,21,21		0
410	1009113	1801.05	0.0	1059.48	2097.85	0.174898	-2.67435	-1009002,21,21		0
413	1093224	1801.55	1.0	1059.73	3275.83	-1.6018	0.46334	1009002,21		0
414	1092214	1801.38	1.0	810.033	2041.88	-0.602248	3.00998	1009002,21,21		0
415	1000993	1801.1	0.0	801.858	2320.66	1.20945	0.0405388	1009002,21		0
417	1000993	1801.1	0.0	534.763	1984.16	1.01142	-0.291415	1009002,21,21		0
419	1092214	1801.38	1.0	536.036	2980.88	2.16872	2.83526	-1009002,21,21		0
420	1092214	1801.38	1.0	602.791	1900.09	0.0749363	-1.92225	1009002,21,21		0
421	1092214	1801.38	-1.0	823.118	2056.44	-0.630062	1.37278	1009002,21		0
422	1009213	1801.05	-1.0	1371.12	2309.03	0.326703	-0.157306	-1009002,1		0
425	1009213	1801.05	1.0	1357.42	2527.27	-0.763746	2.99646	1009002,21		0
427	1000993	1801.1	0.0	725.57	2047.46	-0.805144	-0.01664	-1009002,21		0
428	1009213	1801.05	-1.0	674.437	2127.54	1.10798	-3.1056	1009002,21,21		0
431	1009213	1801.05	-1.0	171.557	1814.16	-0.718025	-0.174872	-1009002,21,21		0
432	1009323	1801.22	1.0	136.059	1922.43	2.27961	-2.8227	1009002,21,21		0
433	1009213	1801.05	1.0	1127.87	2226.38	-0.559148	0.149856	-1009002,21,21		0
436	1009213	1801.05	-1.0	1094.01	2109.09	-0.079816	-3.0558	1009002,-2		0
437	1009113	1801.05	0.0	353.793	1851.89	0.648891	-1.03008	-1009002,21,21,21		0
438	1000993	1801.1	0.0	466.85	2040.09	1.34665	2.57153	1009002,21,21		0
440	1009213	1801.05	1.0	782.912	1986.29	-0.371622	0.595593	1009002,21,21,21		0
441	1009223	1801.05	0.0	735.798	2486.9	1.48973	-2.65088	-1009002,21,21		0
442	1009213	1801.05	1.0	1424.22	2296.87	-0.0410733	-1.13409	-1009002,21,21		0
444	1009113	1801.05	0.0	1275.94	2265.01	-0.388583	1.65952	1009002,21		0
448	1009213	1801.05	1.0	559.712	3436.13	2.33794	1.72956	-1009002,21,21,21		0
451	1009213	1801.05	-1.0	461.922	1886.02	0.639758	-1.48536	1009002,21		0
452	1009213	1801.05	1.0	505.819	1876.22	0.279953	-1.71461	1009002,21		0
453	1009213	1801.05	-1.0	477.992	2121.63	1.49701	1.34127	-1009002,21		0
454	1009223	1801.05	0.0	1060.33	2319.04	-0.843948	0.443072	-1009002,2		0
456	1009223	1801.05	0.0	1012.73	2066.36	-0.0209267	-2.6888	1009002,-2		0
457	1009213	1801.05	-1.0	502.891	2647.91	2.02653	1.62681	1009002,-1		0
459	1009223	1801.05	0.0	524.741	2235.66	1.57728	-1.45202	-1009002,21		0
466	1009313	1801.22	0.0	471.329	2003.54	-1.23299	1.12987	1009002,21		0
469	1009213	1801.05	-1.0	486.749	1874.95	-0.374177	-1.9691	1009002,21,21		0
473	1009213	1801.05	-1.0	565.592	2028.02	1.0847	-0.177131	-1009002,2		0
474	1009223	1801.05	0.0	558.59	2232.71	1.50463	2.90632	1009002,-3		0
