event	bunchCrossing	pdgid	mass	charge	pt	eta	phi	mothers	daughters
148	-1	1009213	1801.05	-1.0	952.139	-1.04942	-1.27204	1009002,21,21	
149	-1	1009213	1801.05	-1.0	678.355	-1.52189	-0.949588	-1009002,21	
149	-1	1009213	1801.05	1.0	680.998	-0.260633	2.22173	1009002,21	
151	-1	1093114	1801.55	-1.0	2073.93	-0.0479402	1.74652	1009002,21,21	
151	-1	1009213	1801.05	1.0	1788.53	0.321501	-1.2006	1009002,21,21	
153	-1	1009213	1801.05	-1.0	852.6	-1.76195	2.34489	1009002,21	
153	-1	1009313	1801.22	0.0	944.112	-1.0379	-0.942368	-1009002,21	
157	-1	1009223	1801.05	0.0	825.827	-0.000324177	2.88389	-1009002,21,21	
157	-1	1009213	1801.05	-1.0	922.803	0.486193	-0.495182	1009002,-3	
158	-1	1009213	1801.05	1.0	857.608	-0.823025	-2.06515	1009002,21	
158	-1	1093214	1801.55	0.0	849.104	0.584482	1.09468	-1009002,21,21,21	
163	-1	1009213	1801.05	1.0	250.278	-1.54866	0.0841685	-1009002,21	
163	-1	1009113	1801.05	0.0	560.06	0.301234	-2.90038	1009002,21	
165	-1	1009113	1801.05	0.0	1361.87	-1.38372	2.00183	-1009002,21,21	
165	-1	1009213	1801.05	1.0	1356.84	0.646812	-1.13364	1009002,21	
166	-1	1009223	1801.05	0.0	1621.39	0.711226	1.74002	-1009002,21,21	
166	-1	1092224	1801.38	2.0	1290.74	-0.609031	-1.33409	1009002,21,21	
168	-1	1009113	1801.05	0.0	1549.46	-0.597237	2.6312	-1009002,21,21	
168	-1	1009213	1801.05	-1.0	1477.25	-0.884885	-0.529428	1009002,21	
169	-1	1009213	1801.05	1.0	784.911	-1.69682	2.81317	-1009002,21,21	
169	-1	1000993	1801.1	0.0	854.744	0.365834	-0.0764013	1009002,21,21	
170	-1	1009213	1801.05	1.0	1089.06	-0.0569407	-1.92461	1009002,21,21,21	
170	-1	1009223	1801.05	0.0	1096.83	-0.996073	1.17144	-1009002,21	
171	-1	1009313	1801.22	0.0	751.907	-0.43046	-0.073061	-1009002,2	
171	-1	1009313	1801.22	0.0	719.938	0.720363	2.60454	1009002,-2	
172	-1	1009113	1801.05	0.0	830.406	2.13968	-0.507105	1009002,21,21	
172	-1	1009213	1801.05	-1.0	845.278	-0.774009	2.68481	-1009002,21	
173	-1	1009323	1801.22	-1.0	685.01	-2.0987	1.72041	1009002,21,21	
173	-1	1000993	1801.1	0.0	684.775	-1.25521	-1.35295	-1009002,21	
174	-1	1092214	1801.38	1.0	821.654	-0.781505	1.43375	1009002,21,21	
174	-1	1009223	1801.05	0.0	826.586	0.544456	-1.70501	-1009002,21,21	
175	-1	1009223	1801.05	0.0	657.184	-1.2378	0.261654	-1009002,1	
175	-1	1009213	1801.05	1.0	664.026	0.512763	-2.87802	1009002,21,21	
176	-1	1009333	1801.4	0.0	1764.54	0.660921	1.67237	-1009002,21,21,21	
176	-1	1009313	1801.22	0.0	1759.02	0.52791	-1.46564	1009002,21,21	
178	-1	1009223	1801.05	0.0	305.121	-2.83679	2.71591	-1009002,2	
178	-1	1009213	1801.05	1.0	301.047	-2.01957	-0.364867	1009002,21	
179	-1	1092214	1801.38	1.0	1041.94	-1.03406	-2.39095	1009002,21,21	
179	-1	1093224	1801.55	-1.0	1050.77	-0.805506	0.72905	-1009002,2	
180	-1	1009213	1801.05	1.0	1316.52	-1.46735	-1.29304	-1009002,2	
180	-1	1000993	1801.1	0.0	1262.81	0.639571	1.83397	1009002,21,-3	
181	-1	1009213	1801.05	-1.0	215.07	2.12766	2.83632	1009002,21	
181	-1	1092214	1801.38	-1.0	212.002	-0.442989	-0.250928	-1009002,21	
182	-1	1009223	1801.05	0.0	337.705	0.507657	0.951159	-1009002,2	
182	-1	1009323	1801.22	1.0	323.569	1.3877	-2.23699	-1009002,21,21	
183	-1	1009113	1801.05	0.0	1194.82	0.476922	-1.27331	-1009002,21	
183	-1	1000993	1801.1	0.0	1142.25	1.30838	1.72259	1009002,21,21	
186	-1	1009213	1801.05	-1.0	2113.43	-0.00029486	0.060229	1009002,21	
186	-1	1009213	1801.05	-1.0	1731.71	-0.251322	-2.81187	-1009002,21	
189	-1	1009323	1801.22	-1.0	1155.65	0.321762	0.388891	1009002,21	
189	-1	1009223	1801.05	0.0	1166.06	0.193901	-2.73012	-1009002,21	
193	-1	1009223	1801.05	0.0	513.955	-0.483827	-1.17811	1009002,21	
193	-1	1009313	1801.22	0.0	529.02	0.977286	1.9391	-1009002,21	
197	-1	1009213	1801.05	-1.0	390.948	-0.826888	3.08551	-1009002,21	
197	-1	1092214	1801.38	1.0	393.116	-0.303252	-0.222832	1009002,21	
198	-1	1009313	1801.22	0.0	639.885	0.772854	-2.10824	-1009002,21	
198	-1	1009113	1801.05	0.0	636.31	1.11277	0.867535	1009002,-1	
205	-1	1009213	1801.05	1.0	451.691	-0.423328	-1.96111	-1009002,21	
205	-1	1009223	1801.05	0.0	520.24	-1.1539	1.10799	-1009002,21,21	
207	-1	1009223	1801.05	0.0	360.617	-1.44809	-1.21513	1009002,21	
207	-1	1009223	1801.05	0.0	476.827	-1.1648	1.98925	1009002,21	
209	-1	1009213	1801.05	-1.0	1041.57	-0.697986	2.56898	-1009002,21,21	
209	-1	1009213	1801.05	-1.0	1042.16	-0.974052	-0.572576	1009002,21	
211	-1	1000993	1801.1	0.0	1157.03	0.772033	-0.173308	-1009002,21,21	
211	-1	1009213	1801.05	-1.0	1162.62	1.19861	2.99115	1009002,-2	
213	-1	1009213	1801.05	1.0	1136.49	0.0551342	1.04212	-1009002,21	
213	-1	1009213	1801.05	-1.0	1134.4	0.965605	-2.10367	1009002,21	
214	-1	1009223	1801.05	0.0	1399.18	0.905115	-0.444727	1009002,2101	
214	-1	1093114	1801.55	-1.0	1123.64	-1.25214	2.69145	1009002,21,21	
216	-1	1009313	1801.22	0.0	242.296	-2.51897	1.88576	1009002,21,21,21	
216	-1	1009213	1801.05	-1.0	210.112	0.924194	-2.08351	-1009002,21,21	
221	-1	1009113	1801.05	0.0	764.317	0.990126	2.02494	-1009002,21	
221	-1	1009213	1801.05	-1.0	764.735	1.77396	-1.12416	1009002,21,21	
222	-1	1009223	1801.05	0.0	194.019	-2.35457	1.72159	-1009002,21,21	
222	-1	1092114	1801.38	0.0	247.987	-3.06389	-1.41673	1009002,21,21,21	
223	-1	1000993	1801.1	0.0	1188.57	-0.0778919	-1.42756	-1009002,21,21	
223	-1	1009213	1801.05	-1.0	913.317	-0.179028	1.73458	1009002,2101	
224	-1	1009213	1801.05	1.0	57.5225	-2.02577	3.06783	1009002,21,21	
224	-1	1092214	1801.38	-1.0	396.408	0.824328	-2.84729	1009002,21	
227	-1	1009223	1801.05	0.0	765.686	-1.72319	1.15775	1009002,21,21,21	
227	-1	1009213	1801.05	-1.0	770.806	0.473504	-1.99027	-1009002,21,21,1	
230	-1	1009213	1801.05	1.0	451.03	0.857365	2.40637	-1009002,21,21	
230	-1	1009113	1801.05	0.0	313.767	-1.87906	-0.670553	1009002,21,21,21	
235	-1	1009213	1801.05	-1.0	70.244	2.92236	-1.23909	-1009002,21	
235	-1	1009323	1801.22	1.0	63.929	-3.72433	1.76092	1009002,21	
236	-1	1009323	1801.22	-1.0	741.486	-1.21769	-2.64539	-1009002,21	
236	-1	1009213	1801.05	1.0	736.325	-1.73908	0.396979	1009002,21,21	
237	-1	1009113	1801.05	0.0	903.774	-0.83884	2.94849	-1009002,21	
237	-1	1092114	1801.38	0.0	792.593	-0.364809	-0.0621489	1009002,21	
240	-1	1009323	1801.22	-1.0	152.861	2.24479	-2.98542	-1009002,21,21	
240	-1	1092114	1801.38	0.0	34.9746	4.73902	-0.466244	1009002,21,21	
241	-1	1009213	1801.05	-1.0	1305.4	0.478283	-2.49666	-1009002,21	
241	-1	1000993	1801.1	0.0	1298.9	0.392008	0.640388	1009002,21	
242	-1	1009213	1801.05	1.0	366.213	-1.65476	2.79129	1009002,-2	
242	-1	1009323	1801.22	1.0	332.238	2.37194	-0.168291	1009002,21,21,21	
243	-1	1000993	1801.1	0.0	1144.66	0.503555	-0.303062	-1009002,21	
243	-1	1009213	1801.05	-1.0	1291.35	-0.884907	2.55294	1009002,21,21,21	
245	-1	1009113	1801.05	0.0	455.93	2.4111	-0.991312	-1009002,21,21	
245	-1	1009213	1801.05	-1.0	155.729	2.55093	-2.15484	1009002,21	
246	-1	1009223	1801.05	0.0	1226.91	-0.118012	-0.93521	-1009002,21,21	
246	-1	1009223	1801.05	0.0	1187.07	1.18565	2.11839	1009002,-1	
247	-1	1009213	1801.05	-1.0	808.204	-0.661828	2.15956	-1009002,21	
247	-1	1009223	1801.05	0.0	756.167	-0.869843	-1.25749	1009002,21	
250	-1	1009213	1801.05	-1.0	2038.81	1.25728	2.47607	-1009002,21,21	
250	-1	1009113	1801.05	0.0	2039.24	0.0449704	-0.665657	1009002,21	
252	-1	1009313	1801.22	0.0	1021.82	1.63833	2.20098	-1009002,21	
252	-1	1009213	1801.05	-1.0	948.715	1.26709	-0.947849	1009002,-2	
254	-1	1009213	1801.05	-1.0	234.388	-0.567536	-0.076356	-1009002,21,21,21	
254	-1	1009223	1801.05	0.0	258.76	0.129077	2.98455	1009002,21,21	
256	-1	1009213	1801.05	1.0	562.139	-1.52035	-0.842281	-1009002,21	
256	-1	1009313	1801.22	0.0	521.202	-2.46092	2.25994	1009002,21,21	
257	-1	1009113	1801.05	0.0	429.413	-0.544466	0.271735	-1009002,21,21	
257	-1	1009313	1801.22	0.0	442.216	2.23156	-2.84912	1009002,-3	
258	-1	1009313	1801.22	0.0	174.217	-0.533111	-0.283935	-1009002,21	
258	-1	1009113	1801.05	0.0	133.661	2.29341	-2.73335	1009002,21	
261	-1	1009213	1801.05	1.0	718.198	1.72441	0.0307072	-1009002,21,21	
261	-1	1009113	1801.05	0.0	758.797	-0.310044	3.06666	1009002,-3	
264	-1	1092214	1801.38	-1.0	1580.83	-0.311391	-0.120426	1009002,21,21	
264	-1	1000993	1801.1	0.0	1549.46	1.43069	2.99746	-1009002,21,21	
266	-1	1009213	1801.05	-1.0	216.168	2.39565	2.06718	1009002,21,21	
266	-1	1000993	1801.1	0.0	297.014	-1.93756	-2.47107	1009002,21	
269	-1	1009113	1801.05	0.0	882.918	0.65543	-0.23752	-1009002,2	
269	-1	1000993	1801.1	0.0	755.477	1.03417	2.98955	1009002,-4	
274	-1	1000993	1801.1	0.0	523.011	1.48749	-2.68313	-1009002,21,21	
274	-1	1009223	1801.05	0.0	646.987	1.40845	0.645491	1009002,21,21	
276	-1	1009313	1801.22	0.0	684.255	-1.22932	2.56399	-1009002,2	
276	-1	1009323	1801.22	-1.0	843.255	-0.422483	0.300171	1009002,21,21	
280	-1	1009223	1801.05	0.0	69.8588	-3.03126	2.81916	-1009002,21,21	
280	-1	1000993	1801.1	0.0	63.6348	2.78005	-0.282389	1009002,21,21	
281	-1	1009113	1801.05	0.0	518.538	-0.796902	2.86052	1009002,21,21	
281	-1	1009213	1801.05	1.0	451.198	-0.888931	-0.596863	1009002,21	
283	-1	1009223	1801.48	0.0	751.018	-0.865883	0.961828	1009002,-2	
283	-1	1009213	1801.05	-1.0	710.746	-1.48824	-2.20096	1009002,21,21	
285	-1	1009223	1801.05	0.0	857.507	1.07396	1.35143	-1009002,21,21	
285	-1	1092224	1801.38	2.0	895.812	0.109321	-1.84702	1009002,21	
286	-1	1093114	1801.55	1.0	63.3705	3.7823	1.79969	-1009002,21	
286	-1	1000993	1801.1	0.0	192.161	1.93223	1.5134	-1009002,21	
289	-1	1009213	1801.05	-1.0	873.854	0.874225	-0.983348	1009002,21,21	
289	-1	1009223	1801.05	0.0	718.722	0.587719	1.92337	1009002,21,21	
291	-1	1009223	1801.05	0.0	558.03	-0.0692652	-1.20695	-1009002,21,21	
291	-1	1009213	1801.05	1.0	557.075	1.38926	1.93594	1009002,21,21,21	
